Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs,Region
01/01/2024,Cavan General Hospital,5,0,5,7,0,,,HSE Dublin & North East
01/01/2024,Connolly Hospital,0,0,0,0,8,,,HSE Dublin & North East
01/01/2024,Mater Misericordiae University Hospital,0,,0,0,17,,,HSE Dublin & North East
01/01/2024,National Orthopaedic Hospital Cappagh,,,,,0,,,HSE Dublin & North East
01/01/2024,Our Lady of Lourdes Hospital,2,0,2,13,1,,,HSE Dublin & North East
01/01/2024,Our Lady's Hospital Navan,0,,0,10,2,,,HSE Dublin & North East
01/01/2024,CHI at Crumlin,0,,0,,4,,,HSE Dublin & Midlands
01/01/2024,HSE Dublin and North East Total,7,0,7,30,39,0,0,
01/01/2024,CHI at Temple Street,5,,5,,5,,,HSE Dublin & Midlands
01/01/2024,MRH Mullingar,10,0,10,17,1,3,1,HSE Dublin & Midlands
01/01/2024,MRH Portlaoise,12,0,12,29,7,,,HSE Dublin & Midlands
01/01/2024,MRH Tullamore,0,0,0,15,2,,,HSE Dublin & Midlands
01/01/2024,Naas General Hospital,14,2,16,6,6,3,3,HSE Dublin & Midlands
01/01/2024,St. James's Hospital,12,,12,0,21,,,HSE Dublin & Midlands
01/01/2024,St. Luke's Radiation Oncology Network,,,,,2,,,HSE Dublin & Midlands
01/01/2024,Tallaght University Hospital,7,0,7,16,16,,,HSE Dublin & Midlands
01/01/2024,National Rehabilitation Hospital,,,,,15,,,HSE Dublin & South East
01/01/2024,HSE Dublin and Midlands Total,60,2,62,83,76,6,4,
01/01/2024,St Luke's General Hospital Kilkenny,0,0,0,27,6,,,
01/01/2024,St. Michael's Hospital,,,,,11,,,HSE Dublin & South East
01/01/2024,St. Vincent's University Hospital,16,0,16,4,20,4,1,HSE Dublin & South East
01/01/2024,Tipperary University Hospital,0,,0,13,7,,,HSE Dublin & South East
01/01/2024,UH Waterford,0,,0,0,21,,,HSE Dublin & South East
01/01/2024,Wexford General Hospital,4,0,4,1,4,,,HSE Dublin & South East
01/01/2024,Bantry General Hospital,,,,,9,,,HSE South West
01/01/2024,HSE Dublin and South East Total,20,0,20,45,87,4,1,
01/01/2024,Mallow General Hospital,,,,,0,,,HSE South West
01/01/2024,Mercy University Hospital,8,0,8,0,15,2,,HSE South West
01/01/2024,South Infirmary Victoria University Hospital,,,,,4,,,HSE South West
01/01/2024,UH Kerry,21,0,21,34,13,7,2,HSE South West
01/01/2024,Ennis Hospital,,,,,4,,,HSE Mid West
01/01/2024,HSE South West Total,47,4,51,55,74,9,2,
01/01/2024,St. John's Hospital Limerick,,,,,3,,,HSE Mid West
01/01/2024,UH Limerick,5,26,31,20,6,11,,HSE Mid West
01/01/2024,Galway University Hospital,15,1,16,20,22,,,HSE West & North West
01/01/2024,HSE Mid West Total,20,27,47,40,31,11,0,
01/01/2024,Mayo University Hospital,9,5,14,9,7,2,,HSE West & North West
01/01/2024,Portiuncula University Hospital,4,0,4,2,4,,,HSE West & North West
01/01/2024,Roscommon University Hospital,,,,,2,,,HSE West & North West
01/01/2024,Sligo University Hospital,11,9,20,12,17,4,,HSE West & North West
01/01/2024,National Total,182,47,229,278,352,36,7,
02/01/2024,Cavan General Hospital,4,0,4,6,0,,,HSE Dublin & North East
02/01/2024,Connolly Hospital,3,0,3,3,8,,,HSE Dublin & North East
02/01/2024,Mater Misericordiae University Hospital,6,0,6,0,17,1,,HSE Dublin & North East
02/01/2024,National Orthopaedic Hospital Cappagh,,,,,0,,,HSE Dublin & North East
02/01/2024,Our Lady of Lourdes Hospital,19,,19,28,1,,,HSE Dublin & North East
02/01/2024,Our Lady's Hospital Navan,0,,0,11,2,,,HSE Dublin & North East
02/01/2024,CHI at Crumlin,0,,0,,4,,,HSE Dublin & Midlands
02/01/2024,HSE Dublin and North East Total,32,0,32,48,39,1,0,
02/01/2024,CHI at Temple Street,5,,5,,5,1,,HSE Dublin & Midlands
02/01/2024,MRH Mullingar,7,4,11,17,1,1,,HSE Dublin & Midlands
02/01/2024,MRH Portlaoise,7,0,7,29,6,,,HSE Dublin & Midlands
02/01/2024,MRH Tullamore,0,0,0,23,2,,,HSE Dublin & Midlands
02/01/2024,Naas General Hospital,18,3,21,8,6,7,2,HSE Dublin & Midlands
02/01/2024,St. James's Hospital,13,0,13,0,21,,,HSE Dublin & Midlands
02/01/2024,St. Luke's Radiation Oncology Network,,,,,2,,,HSE Dublin & Midlands
02/01/2024,Tallaght University Hospital,8,0,8,15,16,1,,HSE Dublin & Midlands
02/01/2024,National Rehabilitation Hospital,,,,,15,,,HSE Dublin & South East
02/01/2024,HSE Dublin and Midlands Total,59,7,66,92,75,10,2,
02/01/2024,St Luke's General Hospital Kilkenny,0,0,0,33,6,,,
02/01/2024,St. Michael's Hospital,,,,,11,,,HSE Dublin & South East
02/01/2024,St. Vincent's University Hospital,16,2,18,55,20,5,3,HSE Dublin & South East
02/01/2024,Tipperary University Hospital,3,0,3,12,7,,,HSE Dublin & South East
02/01/2024,UH Waterford,0,0,0,5,21,,,HSE Dublin & South East
02/01/2024,Wexford General Hospital,4,,4,12,4,1,,HSE Dublin & South East
02/01/2024,Bantry General Hospital,,,,,9,,,HSE South West
02/01/2024,HSE Dublin and South East Total,23,2,25,117,87,6,3,
02/01/2024,Mallow General Hospital,,,,,0,,,HSE South West
02/01/2024,Mercy University Hospital,20,0,20,0,15,4,,HSE South West
02/01/2024,South Infirmary Victoria University Hospital,,,,,4,,,HSE South West
02/01/2024,UH Kerry,26,0,26,39,11,7,,HSE South West
02/01/2024,Ennis Hospital,,,,,4,,,HSE Mid West
02/01/2024,HSE South West Total,76,11,87,70,72,21,2,
02/01/2024,St. John's Hospital Limerick,,,,,3,,,HSE Mid West
02/01/2024,UH Limerick,5,35,40,12,8,19,,HSE Mid West
02/01/2024,Galway University Hospital,12,0,12,20,22,,,HSE West & North West
02/01/2024,HSE Mid West Total,17,35,52,32,33,19,0,
02/01/2024,Mayo University Hospital,16,,16,17,7,4,1,HSE West & North West
02/01/2024,Portiuncula University Hospital,5,0,5,9,4,,,HSE West & North West
02/01/2024,Roscommon University Hospital,,,,,2,,,HSE West & North West
02/01/2024,Sligo University Hospital,7,14,21,12,17,6,1,HSE West & North West
02/01/2024,National Total,244,74,318,408,351,67,9,
03/01/2024,Cavan General Hospital,4,2,6,0,1,,,HSE Dublin & North East
03/01/2024,Connolly Hospital,0,0,0,0,5,,,HSE Dublin & North East
03/01/2024,Mater Misericordiae University Hospital,11,,11,0,21,,,HSE Dublin & North East
03/01/2024,National Orthopaedic Hospital Cappagh,,,,,1,,,HSE Dublin & North East
03/01/2024,Our Lady of Lourdes Hospital,7,0,7,20,1,,,HSE Dublin & North East
03/01/2024,Our Lady's Hospital Navan,0,0,0,11,2,,,HSE Dublin & North East
03/01/2024,CHI at Crumlin,2,,2,,3,,,HSE Dublin & Midlands
03/01/2024,HSE Dublin and North East Total,24,2,26,31,41,0,0,
03/01/2024,CHI at Temple Street,4,,4,,5,,,HSE Dublin & Midlands
03/01/2024,MRH Mullingar,8,0,8,12,0,,,HSE Dublin & Midlands
03/01/2024,MRH Portlaoise,5,0,5,28,6,,,HSE Dublin & Midlands
03/01/2024,MRH Tullamore,0,0,0,21,2,,,HSE Dublin & Midlands
03/01/2024,Naas General Hospital,12,4,16,13,7,3,2,HSE Dublin & Midlands
03/01/2024,St. James's Hospital,34,0,34,0,22,,,HSE Dublin & Midlands
03/01/2024,St. Luke's Radiation Oncology Network,,,,,2,,,HSE Dublin & Midlands
03/01/2024,Tallaght University Hospital,18,0,18,18,14,1,,HSE Dublin & Midlands
03/01/2024,National Rehabilitation Hospital,,,,,15,,,HSE Dublin & South East
03/01/2024,HSE Dublin and Midlands Total,81,4,85,92,74,4,2,
03/01/2024,St Luke's General Hospital Kilkenny,6,0,6,14,6,,,
03/01/2024,St. Michael's Hospital,,,,,11,,,HSE Dublin & South East
03/01/2024,St. Vincent's University Hospital,22,,22,22,19,1,1,HSE Dublin & South East
03/01/2024,Tipperary University Hospital,0,0,0,12,7,,,HSE Dublin & South East
03/01/2024,UH Waterford,0,0,0,7,19,,,HSE Dublin & South East
03/01/2024,Wexford General Hospital,2,4,6,16,7,1,,HSE Dublin & South East
03/01/2024,Bantry General Hospital,,,,,9,,,HSE South West
03/01/2024,HSE Dublin and South East Total,30,4,34,71,87,2,1,
03/01/2024,Mallow General Hospital,,,,,0,,,HSE South West
03/01/2024,Mercy University Hospital,25,,25,7,15,7,4,HSE South West
03/01/2024,South Infirmary Victoria University Hospital,,,,,4,,,HSE South West
03/01/2024,UH Kerry,30,0,30,39,17,8,,HSE South West
03/01/2024,Ennis Hospital,,,,,4,,,HSE Mid West
03/01/2024,HSE South West Total,94,15,109,71,76,33,6,
03/01/2024,St. John's Hospital Limerick,,,,,2,,,HSE Mid West
03/01/2024,UH Limerick,5,36,41,19,8,12,1,HSE Mid West
03/01/2024,Galway University Hospital,19,3,22,20,23,,,HSE West & North West
03/01/2024,HSE Mid West Total,24,39,63,39,33,12,1,
03/01/2024,Mayo University Hospital,20,12,32,17,7,14,2,HSE West & North West
03/01/2024,Portiuncula University Hospital,4,0,4,8,3,,,HSE West & North West
03/01/2024,Roscommon University Hospital,,,,,2,,,HSE West & North West
03/01/2024,Sligo University Hospital,3,15,18,13,22,5,,HSE West & North West
03/01/2024,National Total,290,98,388,351,360,74,12,
04/01/2024,Cavan General Hospital,4,0,4,6,0,,,HSE Dublin & North East
04/01/2024,Connolly Hospital,0,0,0,0,5,,,HSE Dublin & North East
04/01/2024,Mater Misericordiae University Hospital,22,0,22,0,24,,,HSE Dublin & North East
04/01/2024,National Orthopaedic Hospital Cappagh,,,,,1,,,HSE Dublin & North East
04/01/2024,Our Lady of Lourdes Hospital,15,0,15,21,1,,,HSE Dublin & North East
04/01/2024,Our Lady's Hospital Navan,0,0,0,11,2,,,HSE Dublin & North East
04/01/2024,CHI at Crumlin,2,,2,,3,,,HSE Dublin & Midlands
04/01/2024,HSE Dublin and North East Total,43,0,43,38,46,0,0,
