Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs,Region
02/06/2023,Cavan General Hospital,1,,1,1,0,,,HSE Dublin & North East
02/06/2023,Connolly Hospital,1,0,1,19,9,,,HSE Dublin & North East
02/06/2023,Mater Misericordiae University Hospital,13,,13,0,40,,,HSE Dublin & North East
02/06/2023,Our Lady of Lourdes Hospital,0,0,0,6,27,,,HSE Dublin & North East
02/06/2023,Our Lady's Hospital Navan,0,0,0,0,1,,,HSE Dublin & North East
02/06/2023,CHI at Crumlin,10,,10,,1,,,HSE Dublin & Midlands
02/06/2023,CHI at Tallaght,0,,0,,1,,,HSE Dublin & Midlands
02/06/2023,HSE Dublin and North East Total,31,0,31,26,98,0,0,
02/06/2023,MRH Mullingar,2,0,2,0,0,,,HSE Dublin & Midlands
02/06/2023,MRH Portlaoise,3,0,3,0,5,,,HSE Dublin & Midlands
02/06/2023,MRH Tullamore,0,0,0,0,4,,,HSE Dublin & Midlands
02/06/2023,Naas General Hospital,0,0,0,0,10,,,HSE Dublin & Midlands
02/06/2023,St. James's Hospital,27,0,27,0,50,3,,HSE Dublin & Midlands
02/06/2023,Tallaght University Hospital,19,0,19,12,36,5,,HSE Dublin & Midlands
02/06/2023,St Luke's General Hospital Kilkenny,0,0,0,25,11,,,
02/06/2023,St. Vincent's University Hospital,9,0,9,21,38,,,HSE Dublin & South East
02/06/2023,Tipperary University Hospital,4,,4,15,7,,,HSE Dublin & South East
02/06/2023,HSE Dublin and Midlands Total,63,5,68,73,165,8,0,
02/06/2023,Wexford General Hospital,0,0,0,0,6,,,HSE Dublin & South East
02/06/2023,Cork University Hospital,1,4,5,17,42,,,HSE South West
02/06/2023,Mercy University Hospital,9,,9,8,24,1,,HSE South West
02/06/2023,UH Kerry,23,0,23,15,9,3,,HSE South West
02/06/2023,UH Limerick,10,36,46,29,13,3,,HSE Mid West
02/06/2023,Galway University Hospital,4,0,4,22,24,,,HSE West & North West
02/06/2023,Letterkenny University Hospital,3,5,8,5,20,2,,HSE West & North West
02/06/2023,HSE Dublin and South East Total,50,45,95,96,158,9,0,
02/06/2023,Portiuncula University Hospital,5,0,5,2,3,1,,HSE West & North West
02/06/2023,Sligo University Hospital,7,8,15,8,10,4,,HSE West & North West
02/06/2023,National Total,172,68,240,205,444,29,Unnamed: 20_level_1,
03/06/2023,Cavan General Hospital,0,0,0,0,0,,,HSE Dublin & North East
03/06/2023,Connolly Hospital,0,0,0,10,9,,,HSE Dublin & North East
03/06/2023,Mater Misericordiae University Hospital,0,,0,0,41,,,HSE Dublin & North East
03/06/2023,Our Lady of Lourdes Hospital,0,0,0,5,33,,,HSE Dublin & North East
03/06/2023,Our Lady's Hospital Navan,0,,0,0,1,,,HSE Dublin & North East
03/06/2023,CHI at Crumlin,0,,0,,1,,,HSE Dublin & Midlands
03/06/2023,CHI at Tallaght,0,,0,,1,,,HSE Dublin & Midlands
03/06/2023,HSE Dublin and North East Total,0,0,0,15,105,0,0,
03/06/2023,MRH Mullingar,0,0,0,0,0,,,HSE Dublin & Midlands
03/06/2023,MRH Portlaoise,4,0,4,0,6,,,HSE Dublin & Midlands
03/06/2023,MRH Tullamore,0,0,0,0,4,,,HSE Dublin & Midlands
03/06/2023,Naas General Hospital,0,0,0,0,13,,,HSE Dublin & Midlands
03/06/2023,St. James's Hospital,8,0,8,0,56,,,HSE Dublin & Midlands
03/06/2023,Tallaght University Hospital,11,0,11,12,39,,,HSE Dublin & Midlands
03/06/2023,St Luke's General Hospital Kilkenny,0,0,0,0,11,,,
03/06/2023,St. Vincent's University Hospital,7,0,7,21,38,1,,HSE Dublin & South East
03/06/2023,Tipperary University Hospital,0,,0,10,7,,,HSE Dublin & South East
03/06/2023,HSE Dublin and Midlands Total,30,0,30,43,178,1,0,
03/06/2023,Wexford General Hospital,0,0,0,0,5,,,HSE Dublin & South East
03/06/2023,Cork University Hospital,0,0,0,0,35,,,HSE South West
03/06/2023,Mercy University Hospital,3,,3,6,24,,,HSE South West
03/06/2023,UH Kerry,15,0,15,20,11,1,,HSE South West
03/06/2023,UH Limerick,7,4,11,23,12,2,,HSE Mid West
03/06/2023,Galway University Hospital,5,0,5,21,20,,,HSE West & North West
03/06/2023,Letterkenny University Hospital,0,,0,1,16,,,HSE West & North West
03/06/2023,HSE Dublin and South East Total,30,4,34,71,142,3,0,
03/06/2023,Portiuncula University Hospital,3,,3,2,3,,,HSE West & North West
03/06/2023,Sligo University Hospital,3,4,7,4,9,4,,HSE West & North West
03/06/2023,National Total,80,21,101,143,447,15,Unnamed: 20_level_1,
04/06/2023,Cavan General Hospital,0,0,0,0,0,,,HSE Dublin & North East
04/06/2023,Connolly Hospital,0,0,0,10,9,,,HSE Dublin & North East
04/06/2023,Mater Misericordiae University Hospital,0,,0,0,41,,,HSE Dublin & North East
04/06/2023,Our Lady of Lourdes Hospital,0,0,0,7,33,,,HSE Dublin & North East
04/06/2023,Our Lady's Hospital Navan,0,,0,0,1,,,HSE Dublin & North East
04/06/2023,CHI at Crumlin,4,,4,,1,,,HSE Dublin & Midlands
04/06/2023,CHI at Tallaght,0,,0,,1,,,HSE Dublin & Midlands
04/06/2023,HSE Dublin and North East Total,4,0,4,17,105,0,0,
04/06/2023,MRH Mullingar,1,0,1,0,0,,,HSE Dublin & Midlands
04/06/2023,MRH Portlaoise,3,0,3,0,6,1,,HSE Dublin & Midlands
04/06/2023,MRH Tullamore,0,0,0,0,4,,,HSE Dublin & Midlands
