Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs,Region
02/06/2025,Cavan General Hospital,4,0,4,7,0,,,HSE Dublin & North East
02/06/2025,Connolly Hospital,0,0,0,0,4,,,HSE Dublin & North East
02/06/2025,Louth County Hospital,,,,,0,,,HSE Dublin & North East
02/06/2025,Mater Misericordiae University Hospital,10,0,10,11,15,1,,HSE Dublin & North East
02/06/2025,National Orthopaedic Hospital Cappagh,,,,,0,,,HSE Dublin & North East
02/06/2025,Our Lady of Lourdes Hospital,15,0,15,30,11,,,HSE Dublin & North East
02/06/2025,Our Lady's Hospital Navan,0,0,0,0,0,,,HSE Dublin & North East
02/06/2025,HSE Dublin and North East Total,29,0,29,51,49,1,0,
02/06/2025,CHI at Tallaght,0,0,0,0,0,,,HSE Dublin & Midlands
02/06/2025,CHI at Temple Street,0,0,0,0,3,,,HSE Dublin & Midlands
02/06/2025,MRH Mullingar,1,0,1,4,3,,,HSE Dublin & Midlands
02/06/2025,MRH Portlaoise,5,0,5,10,4,,,HSE Dublin & Midlands
02/06/2025,MRH Tullamore,0,0,0,17,7,,,HSE Dublin & Midlands
02/06/2025,Naas General Hospital,0,0,0,7,7,,,HSE Dublin & Midlands
02/06/2025,St. James's Hospital,3,0,3,0,20,1,,HSE Dublin & Midlands
02/06/2025,St. Luke's Radiation Oncology Network,,,,,1,,,HSE Dublin & Midlands
02/06/2025,Tallaght University Hospital,12,0,12,10,8,2,,HSE Dublin & Midlands
02/06/2025,HSE Dublin and Midlands Total,21,0,21,48,58,3,0,
02/06/2025,St. Columcille's Hospital,,,,,2,,,HSE Dublin & South East
02/06/2025,St Luke's General Hospital Kilkenny,2,0,2,6,8,,,
02/06/2025,St. Michael's Hospital,,,,,4,,,HSE Dublin & South East
02/06/2025,St. Vincent's University Hospital,12,0,12,22,14,,,HSE Dublin & South East
02/06/2025,Tipperary University Hospital,6,0,6,6,11,1,,HSE Dublin & South East
02/06/2025,UH Waterford,0,0,0,0,20,,,HSE Dublin & South East
02/06/2025,Wexford General Hospital,3,4,7,16,7,,,HSE Dublin & South East
02/06/2025,HSE Dublin and South East Total,23,4,27,50,80,1,0,
02/06/2025,Cork University Hospital,1,0,1,12,21,,,HSE South West
02/06/2025,Mallow General Hospital,,,,,4,,,HSE South West
02/06/2025,Mercy University Hospital,7,4,11,9,16,,,HSE South West
02/06/2025,South Infirmary Victoria University Hospital,,,,,0,,,HSE South West
02/06/2025,UH Kerry,8,0,8,6,13,,,HSE South West
02/06/2025,HSE South West Total,16,4,20,27,62,0,0,
02/06/2025,Nenagh Hospital,,,,,4,,,HSE Mid West
02/06/2025,St. John's Hospital Limerick,,,,,9,,,HSE Mid West
02/06/2025,UH Limerick,7,25,32,9,5,15,,HSE Mid West
02/06/2025,HSE Mid West Total,7,25,32,9,23,15,0,
02/06/2025,Letterkenny University Hospital,2,0,2,0,34,,,HSE West & North West
02/06/2025,Mayo University Hospital,4,6,10,10,14,5,,HSE West & North West
02/06/2025,Portiuncula University Hospital,0,0,0,0,2,,,HSE West & North West
02/06/2025,Roscommon University Hospital,,,,,3,,,HSE West & North West
02/06/2025,Sligo University Hospital,5,0,5,0,24,,,HSE West & North West
02/06/2025,HSE West and North West Total,29,13,42,32,117,11,1,
02/06/2025,National Total,125,46,171,217,389,31,1,
03/06/2025,Cavan General Hospital,4,0,4,6,0,,,HSE Dublin & North East
03/06/2025,Connolly Hospital,0,0,0,0,4,,,HSE Dublin & North East
03/06/2025,Louth County Hospital,,,,,0,,,HSE Dublin & North East
03/06/2025,Mater Misericordiae University Hospital,19,0,19,19,15,1,,HSE Dublin & North East
03/06/2025,National Orthopaedic Hospital Cappagh,,,,,0,,,HSE Dublin & North East
03/06/2025,Our Lady of Lourdes Hospital,16,0,16,32,11,,,HSE Dublin & North East
03/06/2025,Our Lady's Hospital Navan,0,0,0,3,0,,,HSE Dublin & North East
03/06/2025,HSE Dublin and North East Total,52,0,52,67,49,1,0,
03/06/2025,CHI at Tallaght,0,0,0,0,0,,,HSE Dublin & Midlands
03/06/2025,CHI at Temple Street,4,0,4,0,3,,,HSE Dublin & Midlands
03/06/2025,MRH Mullingar,6,0,6,10,3,,,HSE Dublin & Midlands
03/06/2025,MRH Portlaoise,5,0,5,10,4,,,HSE Dublin & Midlands
03/06/2025,MRH Tullamore,0,0,0,27,7,,,HSE Dublin & Midlands
03/06/2025,Naas General Hospital,9,0,9,8,7,,,HSE Dublin & Midlands
03/06/2025,St. James's Hospital,2,0,2,4,20,,,HSE Dublin & Midlands
03/06/2025,St. Luke's Radiation Oncology Network,,,,,1,,,HSE Dublin & Midlands
03/06/2025,Tallaght University Hospital,8,0,8,20,8,,,HSE Dublin & Midlands
03/06/2025,HSE Dublin and Midlands Total,34,0,34,79,58,0,0,
03/06/2025,St. Columcille's Hospital,,,,,2,,,HSE Dublin & South East
03/06/2025,St Luke's General Hospital Kilkenny,10,4,14,16,8,,,
03/06/2025,St. Michael's Hospital,,,,,4,,,HSE Dublin & South East
03/06/2025,St. Vincent's University Hospital,23,1,24,22,14,3,1,HSE Dublin & South East
03/06/2025,Tipperary University Hospital,10,0,10,17,11,4,,HSE Dublin & South East
03/06/2025,UH Waterford,0,0,0,0,20,,,HSE Dublin & South East
03/06/2025,Wexford General Hospital,0,8,8,23,7,2,,HSE Dublin & South East
03/06/2025,HSE Dublin and South East Total,43,13,56,78,80,9,1,
03/06/2025,Cork University Hospital,9,0,9,13,21,,,HSE South West
03/06/2025,Mallow General Hospital,,,,,4,,,HSE South West
03/06/2025,Mercy University Hospital,7,1,8,16,17,4,,HSE South West
03/06/2025,South Infirmary Victoria University Hospital,,,,,0,,,HSE South West
03/06/2025,UH Kerry,10,0,10,6,13,,,HSE South West
03/06/2025,HSE South West Total,26,1,27,35,63,4,0,
03/06/2025,Nenagh Hospital,,,,,4,,,HSE Mid West
03/06/2025,St. John's Hospital Limerick,,,,,9,,,HSE Mid West
03/06/2025,UH Limerick,11,38,49,52,5,14,,HSE Mid West
03/06/2025,HSE Mid West Total,11,38,49,52,23,14,0,
03/06/2025,Letterkenny University Hospital,11,5,16,9,34,,,HSE West & North West
03/06/2025,Mayo University Hospital,7,13,20,13,14,8,,HSE West & North West
03/06/2025,Portiuncula University Hospital,0,0,0,0,2,,,HSE West & North West
03/06/2025,Roscommon University Hospital,,,,,3,,,HSE West & North West
03/06/2025,Sligo University Hospital,2,4,6,0,24,,,HSE West & North West
03/06/2025,HSE West and North West Total,50,39,89,44,117,21,3,
03/06/2025,National Total,216,91,307,355,390,49,4,
04/06/2025,Cavan General Hospital,6,0,6,6,0,,,HSE Dublin & North East
04/06/2025,Connolly Hospital,0,0,0,0,4,,,HSE Dublin & North East
04/06/2025,Louth County Hospital,,,,,0,,,HSE Dublin & North East
04/06/2025,Mater Misericordiae University Hospital,19,0,19,21,14,,,HSE Dublin & North East
04/06/2025,National Orthopaedic Hospital Cappagh,,,,,0,,,HSE Dublin & North East
04/06/2025,Our Lady of Lourdes Hospital,23,0,23,44,7,1,,HSE Dublin & North East
04/06/2025,Our Lady's Hospital Navan,0,0,0,6,0,,,HSE Dublin & North East
04/06/2025,HSE Dublin and North East Total,62,0,62,103,43,1,0,
04/06/2025,CHI at Tallaght,0,0,0,0,0,,,HSE Dublin & Midlands
04/06/2025,CHI at Temple Street,1,,1,0,2,,,HSE Dublin & Midlands
04/06/2025,MRH Mullingar,0,0,0,3,3,,,HSE Dublin & Midlands
04/06/2025,MRH Portlaoise,13,0,13,4,3,,,HSE Dublin & Midlands
04/06/2025,MRH Tullamore,0,0,0,27,8,,,HSE Dublin & Midlands
04/06/2025,Naas General Hospital,8,3,11,6,7,1,,HSE Dublin & Midlands
04/06/2025,St. James's Hospital,4,0,4,2,19,,,HSE Dublin & Midlands
04/06/2025,St. Luke's Radiation Oncology Network,,,,,1,,,HSE Dublin & Midlands
04/06/2025,Tallaght University Hospital,13,0,13,24,7,4,,HSE Dublin & Midlands
