Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs,Region
01/01/2023,Cavan General Hospital,14,1,15,8,4,,,HSE Dublin & North East
01/01/2023,Connolly Hospital,7,,7,33,9,,,HSE Dublin & North East
01/01/2023,Mater Misericordiae University Hospital,38,,38,0,36,5,,HSE Dublin & North East
01/01/2023,Our Lady of Lourdes Hospital,17,1,18,16,38,,,HSE Dublin & North East
01/01/2023,Our Lady's Hospital Navan,3,0,3,17,4,,,HSE Dublin & North East
01/01/2023,CHI at Crumlin,4,,4,,,,,HSE Dublin & Midlands
01/01/2023,CHI at Tallaght,0,0,0,,0,,,HSE Dublin & Midlands
01/01/2023,HSE Dublin and North East Total,83,2,85,98,110,5,0,
01/01/2023,MRH Mullingar,11,0,11,11,1,1,,HSE Dublin & Midlands
01/01/2023,MRH Portlaoise,8,,8,0,5,,,HSE Dublin & Midlands
01/01/2023,MRH Tullamore,6,0,6,9,5,,,HSE Dublin & Midlands
01/01/2023,Naas General Hospital,15,,15,0,14,5,,HSE Dublin & Midlands
01/01/2023,St. James's Hospital,24,0,24,0,62,5,,HSE Dublin & Midlands
01/01/2023,Tallaght University Hospital,21,0,21,0,42,4,,HSE Dublin & Midlands
01/01/2023,St Luke's General Hospital Kilkenny,11,0,11,15,8,8,,
01/01/2023,St. Vincent's University Hospital,33,0,33,0,44,10,,HSE Dublin & South East
01/01/2023,Tipperary University Hospital,6,,6,21,2,1,,HSE Dublin & South East
01/01/2023,HSE Dublin and Midlands Total,143,0,143,56,183,35,0,
01/01/2023,Wexford General Hospital,13,1,14,21,12,1,,HSE Dublin & South East
01/01/2023,Cork University Hospital,31,0,31,24,22,2,,HSE South West
01/01/2023,Mercy University Hospital,25,0,25,8,19,11,,HSE South West
01/01/2023,UH Kerry,23,,23,0,12,5,,HSE South West
01/01/2023,UH Limerick,36,12,48,37,19,14,,HSE Mid West
01/01/2023,Galway University Hospital,28,2,30,13,20,4,,HSE West & North West
01/01/2023,Letterkenny University Hospital,15,,15,14,22,3,,HSE West & North West
01/01/2023,HSE Dublin and South East Total,171,15,186,162,146,40,0,
01/01/2023,Portiuncula University Hospital,9,0,9,13,4,1,,HSE West & North West
01/01/2023,Sligo University Hospital,26,,26,7,10,9,,HSE West & North West
01/01/2023,National Total,444,22,466,345,467,100,Unnamed: 20_level_1,
