Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs,Region
01/01/2025,Cavan General Hospital,8,0,8,15,2,,,HSE Dublin & North East
01/01/2025,Connolly Hospital,0,0,0,0,6,,,HSE Dublin & North East
01/01/2025,Louth County Hospital,,,,,0,,,HSE Dublin & North East
01/01/2025,Mater Misericordiae University Hospital,2,0,2,8,13,,,HSE Dublin & North East
01/01/2025,National Orthopaedic Hospital Cappagh,,,,,2,,,HSE Dublin & North East
01/01/2025,Our Lady of Lourdes Hospital,14,0,14,28,10,,,HSE Dublin & North East
01/01/2025,Our Lady's Hospital Navan,0,0,0,16,2,,,HSE Dublin & North East
01/01/2025,HSE Dublin and North East Total,24,0,24,67,51,0,0,
01/01/2025,CHI at Tallaght,1,,1,0,0,,,HSE Dublin & Midlands
01/01/2025,CHI at Temple Street,3,,3,0,3,,,HSE Dublin & Midlands
01/01/2025,MRH Mullingar,4,0,4,17,1,,,HSE Dublin & Midlands
01/01/2025,MRH Portlaoise,9,0,9,16,5,,,HSE Dublin & Midlands
01/01/2025,MRH Tullamore,0,0,0,25,6,,,HSE Dublin & Midlands
01/01/2025,Naas General Hospital,9,3,12,0,11,2,,HSE Dublin & Midlands
01/01/2025,St. James's Hospital,6,0,6,0,17,,,HSE Dublin & Midlands
01/01/2025,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin & Midlands
01/01/2025,Tallaght University Hospital,6,0,6,24,19,,,HSE Dublin & Midlands
01/01/2025,HSE Dublin and Midlands Total,39,3,42,82,64,2,0,
01/01/2025,St. Columcille's Hospital,,,,,3,,,HSE Dublin & South East
01/01/2025,St Luke's General Hospital Kilkenny,4,0,4,25,6,,,
01/01/2025,St. Michael's Hospital,,,,,3,,,HSE Dublin & South East
01/01/2025,St. Vincent's University Hospital,14,0,14,40,14,1,1,HSE Dublin & South East
01/01/2025,Tipperary University Hospital,3,8,11,18,4,6,,HSE Dublin & South East
01/01/2025,UH Waterford,0,0,0,20,14,,,HSE Dublin & South East
01/01/2025,Wexford General Hospital,4,2,6,14,5,,,HSE Dublin & South East
01/01/2025,HSE Dublin and South East Total,25,10,35,117,59,7,1,
01/01/2025,Cork University Hospital,13,0,13,17,28,,,HSE South West
01/01/2025,Mallow General Hospital,,,,,3,,,HSE South West
01/01/2025,Mercy University Hospital,14,0,14,7,12,8,1,HSE South West
01/01/2025,South Infirmary Victoria University Hospital,,,,,3,,,HSE South West
01/01/2025,UH Kerry,13,7,20,14,17,4,,HSE South West
01/01/2025,HSE South West Total,40,7,47,38,66,12,1,
01/01/2025,Nenagh Hospital,,,,,4,,,HSE Mid West
01/01/2025,St. John's Hospital Limerick,,,,,7,,,HSE Mid West
01/01/2025,UH Limerick,15,33,48,38,5,7,,HSE Mid West
01/01/2025,HSE Mid West Total,15,33,48,38,18,7,0,
01/01/2025,Letterkenny University Hospital,2,2,4,8,20,2,,HSE West & North West
01/01/2025,Mayo University Hospital,5,9,14,12,12,10,,HSE West & North West
01/01/2025,Portiuncula University Hospital,12,0,12,24,2,3,,HSE West & North West
01/01/2025,Roscommon University Hospital,,,,,1,,,HSE West & North West
01/01/2025,Sligo University Hospital,10,6,16,12,20,1,,HSE West & North West
01/01/2025,HSE West and North West Total,38,17,55,77,90,16,2,
01/01/2025,National Total,181,70,251,419,348,44,4,
02/01/2025,Cavan General Hospital,9,0,9,10,2,,,HSE Dublin & North East
02/01/2025,Connolly Hospital,0,0,0,0,6,,,HSE Dublin & North East
02/01/2025,Louth County Hospital,,,,,0,,,HSE Dublin & North East
02/01/2025,Mater Misericordiae University Hospital,1,0,1,5,13,,,HSE Dublin & North East
02/01/2025,National Orthopaedic Hospital Cappagh,,,,,2,,,HSE Dublin & North East
02/01/2025,Our Lady of Lourdes Hospital,20,0,20,40,10,,,HSE Dublin & North East
02/01/2025,Our Lady's Hospital Navan,0,0,0,22,2,,,HSE Dublin & North East
02/01/2025,HSE Dublin and North East Total,30,0,30,77,51,0,0,
02/01/2025,CHI at Tallaght,0,0,0,0,0,,,HSE Dublin & Midlands
02/01/2025,CHI at Temple Street,2,0,2,0,3,,,HSE Dublin & Midlands
02/01/2025,MRH Mullingar,4,3,7,25,1,,,HSE Dublin & Midlands
02/01/2025,MRH Portlaoise,7,0,7,22,5,,,HSE Dublin & Midlands
02/01/2025,MRH Tullamore,0,0,0,34,6,,,HSE Dublin & Midlands
02/01/2025,Naas General Hospital,20,6,26,10,11,2,2,HSE Dublin & Midlands
02/01/2025,St. James's Hospital,8,0,8,0,17,,,HSE Dublin & Midlands
02/01/2025,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin & Midlands
02/01/2025,Tallaght University Hospital,15,0,15,30,19,4,,HSE Dublin & Midlands
02/01/2025,HSE Dublin and Midlands Total,60,9,69,121,64,6,2,
02/01/2025,St. Columcille's Hospital,,,,,3,,,HSE Dublin & South East
02/01/2025,St Luke's General Hospital Kilkenny,6,7,13,36,6,1,1,
02/01/2025,St. Michael's Hospital,,,,,3,,,HSE Dublin & South East
02/01/2025,St. Vincent's University Hospital,22,0,22,39,14,1,1,HSE Dublin & South East
02/01/2025,Tipperary University Hospital,6,9,15,25,4,7,,HSE Dublin & South East
02/01/2025,UH Waterford,0,0,0,27,14,,,HSE Dublin & South East
02/01/2025,Wexford General Hospital,8,7,15,25,5,1,1,HSE Dublin & South East
02/01/2025,HSE Dublin and South East Total,42,23,65,152,59,10,3,
02/01/2025,Cork University Hospital,39,2,41,28,28,6,,HSE South West
02/01/2025,Mallow General Hospital,,,,,3,,,HSE South West
02/01/2025,Mercy University Hospital,18,4,22,11,12,8,,HSE South West
02/01/2025,South Infirmary Victoria University Hospital,,,,,3,,,HSE South West
02/01/2025,UH Kerry,20,6,26,14,17,4,4,HSE South West
02/01/2025,HSE South West Total,77,12,89,53,66,18,4,
02/01/2025,Nenagh Hospital,,,,,4,,,HSE Mid West
