Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs
01/01/2023,Beaumont Hospital,0,0,0,24,19,,
01/01/2023,Cavan General Hospital,14,1,15,8,4,,
01/01/2023,Connolly Hospital,7,,7,33,9,,
01/01/2023,Mater Misericordiae University Hospital,38,,38,0,36,5,
01/01/2023,Our Lady of Lourdes Hospital,17,1,18,16,38,,
01/01/2023,Our Lady's Hospital Navan,3,0,3,17,4,,
01/01/2023,CHI at Crumlin,4,,4,,,,
01/01/2023,CHI at Tallaght,0,0,0,,0,,
01/01/2023,HSE Dublin and North East Total,83,2,85,98,110,5,0
01/01/2023,CHI at Temple Street,8,,8,,,1,
01/01/2023,MRH Mullingar,11,0,11,11,1,1,
01/01/2023,MRH Portlaoise,8,,8,0,5,,
01/01/2023,MRH Tullamore,6,0,6,9,5,,
01/01/2023,Naas General Hospital,15,,15,0,14,5,
01/01/2023,St. James's Hospital,24,0,24,0,62,5,
01/01/2023,Tallaght University Hospital,21,0,21,0,42,4,
01/01/2023,St Luke's General Hospital Kilkenny,11,0,11,15,8,8,
01/01/2023,St. Vincent's University Hospital,33,0,33,0,44,10,
01/01/2023,Tipperary University Hospital,6,,6,21,2,1,
01/01/2023,HSE Dublin and Midlands Total,143,0,143,56,183,35,0
01/01/2023,UH Waterford,0,0,0,45,20,,
01/01/2023,Wexford General Hospital,13,1,14,21,12,1,
01/01/2023,Cork University Hospital,31,0,31,24,22,2,
01/01/2023,Mercy University Hospital,25,0,25,8,19,11,
01/01/2023,UH Kerry,23,,23,0,12,5,
01/01/2023,UH Limerick,36,12,48,37,19,14,
01/01/2023,Galway University Hospital,28,2,30,13,20,4,
01/01/2023,Letterkenny University Hospital,15,,15,14,22,3,
01/01/2023,HSE Dublin and South East Total,171,15,186,162,146,40,0
01/01/2023,Mayo University Hospital,12,5,17,9,14,10,
01/01/2023,Portiuncula University Hospital,9,0,9,13,4,1,
01/01/2023,Sligo University Hospital,26,,26,7,10,9,
01/01/2023,National Total,444,22,466,345,467,100,Unnamed: 20_level_1
02/01/2023,Beaumont Hospital,9,0,9,0,19,,
02/01/2023,Cavan General Hospital,25,2,27,10,4,3,
02/01/2023,Connolly Hospital,11,,11,39,9,,
02/01/2023,Mater Misericordiae University Hospital,41,,41,0,36,17,
02/01/2023,Our Lady of Lourdes Hospital,21,3,24,30,38,3,
02/01/2023,Our Lady's Hospital Navan,1,0,1,20,4,,
02/01/2023,CHI at Crumlin,3,,3,,,,
02/01/2023,CHI at Tallaght,0,,0,,0,,
02/01/2023,HSE Dublin and North East Total,111,5,116,99,110,23,0
02/01/2023,CHI at Temple Street,4,,4,,,,
02/01/2023,MRH Mullingar,10,0,10,11,1,,
02/01/2023,MRH Portlaoise,6,0,6,11,5,,
02/01/2023,MRH Tullamore,11,,11,18,5,,
02/01/2023,Naas General Hospital,31,,31,7,14,11,
02/01/2023,St. James's Hospital,23,0,23,0,62,3,
02/01/2023,Tallaght University Hospital,22,0,22,0,42,6,
02/01/2023,St Luke's General Hospital Kilkenny,12,6,18,21,8,4,
02/01/2023,St. Vincent's University Hospital,48,0,48,0,44,14,
02/01/2023,Tipperary University Hospital,8,0,8,27,2,1,
02/01/2023,HSE Dublin and Midlands Total,175,6,181,95,183,39,0
02/01/2023,UH Waterford,0,0,0,56,20,,
02/01/2023,Wexford General Hospital,20,4,24,25,12,2,
02/01/2023,Cork University Hospital,33,0,33,21,22,8,
02/01/2023,Mercy University Hospital,29,0,29,10,19,17,
02/01/2023,UH Kerry,28,0,28,12,12,11,
02/01/2023,UH Limerick,48,24,72,72,19,20,
02/01/2023,Galway University Hospital,27,6,33,22,20,6,
02/01/2023,Letterkenny University Hospital,38,,38,0,22,9,
02/01/2023,HSE Dublin and South East Total,223,34,257,218,146,73,0
02/01/2023,Mayo University Hospital,18,5,23,20,14,6,
02/01/2023,Portiuncula University Hospital,13,0,13,16,4,4,
02/01/2023,Sligo University Hospital,34,,34,7,10,22,
02/01/2023,National Total,574,50,624,455,467,167,Unnamed: 20_level_1
03/01/2023,Beaumont Hospital,28,,28,0,19,,
03/01/2023,Cavan General Hospital,12,2,14,3,4,3,
03/01/2023,Connolly Hospital,21,,21,42,9,4,
03/01/2023,Mater Misericordiae University Hospital,44,,44,0,36,11,
03/01/2023,Our Lady of Lourdes Hospital,30,3,33,26,38,4,
03/01/2023,Our Lady's Hospital Navan,10,,10,17,4,,
03/01/2023,CHI at Crumlin,8,,8,,,,
03/01/2023,CHI at Tallaght,6,,6,,0,1,
03/01/2023,HSE Dublin and North East Total,159,5,164,88,110,23,0
03/01/2023,CHI at Temple Street,9,,9,,,,
03/01/2023,MRH Mullingar,20,0,20,15,1,1,
03/01/2023,MRH Portlaoise,12,,12,11,5,1,
03/01/2023,MRH Tullamore,5,0,5,28,5,,
03/01/2023,Naas General Hospital,27,,27,14,14,12,
03/01/2023,St. James's Hospital,37,0,37,0,62,8,
03/01/2023,Tallaght University Hospital,33,0,33,0,42,6,
03/01/2023,St Luke's General Hospital Kilkenny,21,6,27,22,8,16,
03/01/2023,St. Vincent's University Hospital,55,0,55,0,44,25,
03/01/2023,Tipperary University Hospital,18,0,18,28,2,5,
03/01/2023,HSE Dublin and Midlands Total,237,6,243,118,183,74,0
03/01/2023,UH Waterford,0,0,0,61,20,,
03/01/2023,Wexford General Hospital,29,6,35,40,12,8,
03/01/2023,Cork University Hospital,52,0,52,8,22,19,
03/01/2023,Mercy University Hospital,31,0,31,11,19,17,
03/01/2023,UH Kerry,40,0,40,14,12,19,
03/01/2023,UH Limerick,44,32,76,42,15,23,
03/01/2023,Galway University Hospital,45,7,52,0,20,17,
03/01/2023,Letterkenny University Hospital,28,13,41,11,22,19,
03/01/2023,HSE Dublin and South East Total,269,58,327,187,142,122,0
03/01/2023,Mayo University Hospital,15,9,24,22,14,11,
03/01/2023,Portiuncula University Hospital,-6,16,10,16,4,2,
03/01/2023,Sligo University Hospital,18,18,36,12,10,21,
03/01/2023,National Total,692,112,804,443,463,253,Unnamed: 20_level_1
04/01/2023,Beaumont Hospital,20,,20,26,22,,
04/01/2023,Cavan General Hospital,17,2,19,8,3,,
04/01/2023,Connolly Hospital,8,0,8,43,9,,
04/01/2023,Mater Misericordiae University Hospital,43,,43,0,41,14,
04/01/2023,Our Lady of Lourdes Hospital,16,1,17,25,36,,
04/01/2023,Our Lady's Hospital Navan,16,,16,17,4,3,
04/01/2023,CHI at Crumlin,6,,6,,,,
04/01/2023,CHI at Tallaght,2,,2,,0,,
04/01/2023,HSE Dublin and North East Total,128,3,131,119,115,17,0
04/01/2023,CHI at Temple Street,10,,10,,,2,
04/01/2023,MRH Mullingar,7,,7,0,0,,
04/01/2023,MRH Portlaoise,6,0,6,11,5,,
