Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs
02/06/2025,Beaumont Hospital,0,0,0,3,19,,
02/06/2025,Cavan General Hospital,4,0,4,7,0,,
02/06/2025,Connolly Hospital,0,0,0,0,4,,
02/06/2025,Louth County Hospital,,,,,0,,
02/06/2025,Mater Misericordiae University Hospital,10,0,10,11,15,1,
02/06/2025,National Orthopaedic Hospital Cappagh,,,,,0,,
02/06/2025,Our Lady of Lourdes Hospital,15,0,15,30,11,,
02/06/2025,Our Lady's Hospital Navan,0,0,0,0,0,,
02/06/2025,HSE Dublin and North East Total,29,0,29,51,49,1,0
02/06/2025,CHI at Crumlin,0,0,0,0,5,,
02/06/2025,CHI at Tallaght,0,0,0,0,0,,
02/06/2025,CHI at Temple Street,0,0,0,0,3,,
02/06/2025,MRH Mullingar,1,0,1,4,3,,
02/06/2025,MRH Portlaoise,5,0,5,10,4,,
02/06/2025,MRH Tullamore,0,0,0,17,7,,
02/06/2025,Naas General Hospital,0,0,0,7,7,,
02/06/2025,St. James's Hospital,3,0,3,0,20,1,
02/06/2025,St. Luke's Radiation Oncology Network,,,,,1,,
02/06/2025,Tallaght University Hospital,12,0,12,10,8,2,
02/06/2025,HSE Dublin and Midlands Total,21,0,21,48,58,3,0
02/06/2025,National Rehabilitation Hospital,,,,,14,,
02/06/2025,St. Columcille's Hospital,,,,,2,,
02/06/2025,St Luke's General Hospital Kilkenny,2,0,2,6,8,,
02/06/2025,St. Michael's Hospital,,,,,4,,
02/06/2025,St. Vincent's University Hospital,12,0,12,22,14,,
02/06/2025,Tipperary University Hospital,6,0,6,6,11,1,
02/06/2025,UH Waterford,0,0,0,0,20,,
02/06/2025,Wexford General Hospital,3,4,7,16,7,,
02/06/2025,HSE Dublin and South East Total,23,4,27,50,80,1,0
02/06/2025,Bantry General Hospital,,,,,8,,
02/06/2025,Cork University Hospital,1,0,1,12,21,,
02/06/2025,Mallow General Hospital,,,,,4,,
02/06/2025,Mercy University Hospital,7,4,11,9,16,,
02/06/2025,South Infirmary Victoria University Hospital,,,,,0,,
02/06/2025,UH Kerry,8,0,8,6,13,,
02/06/2025,HSE South West Total,16,4,20,27,62,0,0
02/06/2025,Ennis Hospital,,,,,5,,
02/06/2025,Nenagh Hospital,,,,,4,,
02/06/2025,St. John's Hospital Limerick,,,,,9,,
02/06/2025,UH Limerick,7,25,32,9,5,15,
02/06/2025,HSE Mid West Total,7,25,32,9,23,15,0
02/06/2025,Galway University Hospital,18,7,25,22,40,6,1
02/06/2025,Letterkenny University Hospital,2,0,2,0,34,,
02/06/2025,Mayo University Hospital,4,6,10,10,14,5,
02/06/2025,Portiuncula University Hospital,0,0,0,0,2,,
02/06/2025,Roscommon University Hospital,,,,,3,,
02/06/2025,Sligo University Hospital,5,0,5,0,24,,
02/06/2025,HSE West and North West Total,29,13,42,32,117,11,1
02/06/2025,National Total,125,46,171,217,389,31,1
03/06/2025,Beaumont Hospital,13,0,13,7,19,,
03/06/2025,Cavan General Hospital,4,0,4,6,0,,
03/06/2025,Connolly Hospital,0,0,0,0,4,,
03/06/2025,Louth County Hospital,,,,,0,,
03/06/2025,Mater Misericordiae University Hospital,19,0,19,19,15,1,
03/06/2025,National Orthopaedic Hospital Cappagh,,,,,0,,
03/06/2025,Our Lady of Lourdes Hospital,16,0,16,32,11,,
03/06/2025,Our Lady's Hospital Navan,0,0,0,3,0,,
03/06/2025,HSE Dublin and North East Total,52,0,52,67,49,1,0
03/06/2025,CHI at Crumlin,0,0,0,0,5,,
03/06/2025,CHI at Tallaght,0,0,0,0,0,,
03/06/2025,CHI at Temple Street,4,0,4,0,3,,
03/06/2025,MRH Mullingar,6,0,6,10,3,,
03/06/2025,MRH Portlaoise,5,0,5,10,4,,
03/06/2025,MRH Tullamore,0,0,0,27,7,,
03/06/2025,Naas General Hospital,9,0,9,8,7,,
03/06/2025,St. James's Hospital,2,0,2,4,20,,
03/06/2025,St. Luke's Radiation Oncology Network,,,,,1,,
03/06/2025,Tallaght University Hospital,8,0,8,20,8,,
03/06/2025,HSE Dublin and Midlands Total,34,0,34,79,58,0,0
03/06/2025,National Rehabilitation Hospital,,,,,14,,
03/06/2025,St. Columcille's Hospital,,,,,2,,
03/06/2025,St Luke's General Hospital Kilkenny,10,4,14,16,8,,
03/06/2025,St. Michael's Hospital,,,,,4,,
03/06/2025,St. Vincent's University Hospital,23,1,24,22,14,3,1
03/06/2025,Tipperary University Hospital,10,0,10,17,11,4,
03/06/2025,UH Waterford,0,0,0,0,20,,
03/06/2025,Wexford General Hospital,0,8,8,23,7,2,
03/06/2025,HSE Dublin and South East Total,43,13,56,78,80,9,1
03/06/2025,Bantry General Hospital,,,,,8,,
03/06/2025,Cork University Hospital,9,0,9,13,21,,
03/06/2025,Mallow General Hospital,,,,,4,,
03/06/2025,Mercy University Hospital,7,1,8,16,17,4,
03/06/2025,South Infirmary Victoria University Hospital,,,,,0,,
03/06/2025,UH Kerry,10,0,10,6,13,,
03/06/2025,HSE South West Total,26,1,27,35,63,4,0
03/06/2025,Ennis Hospital,,,,,5,,
03/06/2025,Nenagh Hospital,,,,,4,,
03/06/2025,St. John's Hospital Limerick,,,,,9,,
03/06/2025,UH Limerick,11,38,49,52,5,14,
03/06/2025,HSE Mid West Total,11,38,49,52,23,14,0
03/06/2025,Galway University Hospital,30,17,47,22,40,13,3
03/06/2025,Letterkenny University Hospital,11,5,16,9,34,,
03/06/2025,Mayo University Hospital,7,13,20,13,14,8,
03/06/2025,Portiuncula University Hospital,0,0,0,0,2,,
03/06/2025,Roscommon University Hospital,,,,,3,,
03/06/2025,Sligo University Hospital,2,4,6,0,24,,
03/06/2025,HSE West and North West Total,50,39,89,44,117,21,3
03/06/2025,National Total,216,91,307,355,390,49,4
04/06/2025,Beaumont Hospital,14,0,14,26,18,,
04/06/2025,Cavan General Hospital,6,0,6,6,0,,
04/06/2025,Connolly Hospital,0,0,0,0,4,,
04/06/2025,Louth County Hospital,,,,,0,,
04/06/2025,Mater Misericordiae University Hospital,19,0,19,21,14,,
04/06/2025,National Orthopaedic Hospital Cappagh,,,,,0,,
04/06/2025,Our Lady of Lourdes Hospital,23,0,23,44,7,1,
04/06/2025,Our Lady's Hospital Navan,0,0,0,6,0,,
04/06/2025,HSE Dublin and North East Total,62,0,62,103,43,1,0
04/06/2025,CHI at Crumlin,0,0,0,0,5,,
04/06/2025,CHI at Tallaght,0,0,0,0,0,,
04/06/2025,CHI at Temple Street,1,,1,0,2,,
04/06/2025,MRH Mullingar,0,0,0,3,3,,
04/06/2025,MRH Portlaoise,13,0,13,4,3,,
04/06/2025,MRH Tullamore,0,0,0,27,8,,
04/06/2025,Naas General Hospital,8,3,11,6,7,1,
04/06/2025,St. James's Hospital,4,0,4,2,19,,
04/06/2025,St. Luke's Radiation Oncology Network,,,,,1,,
04/06/2025,Tallaght University Hospital,13,0,13,24,7,4,
04/06/2025,HSE Dublin and Midlands Total,39,3,42,66,55,5,0
04/06/2025,National Rehabilitation Hospital,,,,,15,,
04/06/2025,St. Columcille's Hospital,,,,,3,,
04/06/2025,St Luke's General Hospital Kilkenny,6,4,10,19,9,,
04/06/2025,St. Michael's Hospital,,,,,4,,
04/06/2025,St. Vincent's University Hospital,15,0,15,22,15,3,2
04/06/2025,Tipperary University Hospital,9,0,9,19,13,4,
04/06/2025,UH Waterford,0,0,0,0,18,,
04/06/2025,Wexford General Hospital,1,3,4,18,8,,
04/06/2025,HSE Dublin and South East Total,31,7,38,78,85,7,2
04/06/2025,Bantry General Hospital,,,,,7,,
04/06/2025,Cork University Hospital,7,0,7,10,18,,
04/06/2025,Mallow General Hospital,,,,,4,,
04/06/2025,Mercy University Hospital,10,1,11,16,20,,
04/06/2025,South Infirmary Victoria University Hospital,,,,,1,,
04/06/2025,UH Kerry,7,0,7,9,14,,
04/06/2025,HSE South West Total,24,1,25,35,64,0,0
04/06/2025,Ennis Hospital,,,,,5,,
04/06/2025,Nenagh Hospital,,,,,3,,
04/06/2025,St. John's Hospital Limerick,,,,,16,,
04/06/2025,UH Limerick,14,46,60,14,5,15,
04/06/2025,HSE Mid West Total,14,46,60,14,29,15,0
04/06/2025,Galway University Hospital,20,20,40,30,45,11,1
04/06/2025,Letterkenny University Hospital,0,0,0,5,32,,
04/06/2025,Mayo University Hospital,7,10,17,12,15,6,
04/06/2025,Portiuncula University Hospital,0,0,0,0,2,,
04/06/2025,Roscommon University Hospital,,,,,3,,
04/06/2025,Sligo University Hospital,4,3,7,10,25,1,
04/06/2025,HSE West and North West Total,31,33,64,57,122,18,1
04/06/2025,National Total,201,90,291,353,398,46,3
05/06/2025,Beaumont Hospital,4,0,4,25,17,,
05/06/2025,Cavan General Hospital,4,0,4,5,0,,
05/06/2025,Connolly Hospital,0,0,0,0,4,,
05/06/2025,Louth County Hospital,,,,,0,,
05/06/2025,Mater Misericordiae University Hospital,10,0,10,27,11,,
05/06/2025,National Orthopaedic Hospital Cappagh,,,,,0,,
05/06/2025,Our Lady of Lourdes Hospital,18,0,18,39,7,,
05/06/2025,Our Lady's Hospital Navan,0,0,0,7,0,,
05/06/2025,HSE Dublin and North East Total,36,0,36,103,39,0,0
05/06/2025,CHI at Crumlin,1,0,1,0,5,,
05/06/2025,CHI at Tallaght,0,0,0,0,0,,
05/06/2025,CHI at Temple Street,3,0,3,0,2,,
05/06/2025,MRH Mullingar,1,0,1,5,3,,
05/06/2025,MRH Portlaoise,2,0,2,5,6,,
05/06/2025,MRH Tullamore,0,0,0,15,8,,
05/06/2025,Naas General Hospital,2,0,2,5,8,1,
05/06/2025,St. James's Hospital,6,0,6,2,23,,
05/06/2025,St. Luke's Radiation Oncology Network,,,,,1,,
05/06/2025,Tallaght University Hospital,8,0,8,24,8,3,
05/06/2025,HSE Dublin and Midlands Total,23,0,23,56,64,4,0
05/06/2025,National Rehabilitation Hospital,,,,,13,,
05/06/2025,St. Columcille's Hospital,,,,,3,,
05/06/2025,St Luke's General Hospital Kilkenny,3,5,8,22,10,,
05/06/2025,St. Michael's Hospital,,,,,4,,
05/06/2025,St. Vincent's University Hospital,13,0,13,22,15,,
05/06/2025,Tipperary University Hospital,8,0,8,26,13,4,
05/06/2025,UH Waterford,0,0,0,0,17,,
05/06/2025,Wexford General Hospital,0,0,0,13,7,,
05/06/2025,HSE Dublin and South East Total,24,5,29,83,82,4,0
05/06/2025,Bantry General Hospital,,,,,7,,
05/06/2025,Cork University Hospital,2,0,2,10,20,,
05/06/2025,Mallow General Hospital,,,,,3,,
05/06/2025,Mercy University Hospital,6,2,8,16,17,2,
05/06/2025,South Infirmary Victoria University Hospital,,,,,1,,
05/06/2025,UH Kerry,7,4,11,6,13,,
05/06/2025,HSE South West Total,15,6,21,32,61,2,0
05/06/2025,Ennis Hospital,,,,,7,,
05/06/2025,Nenagh Hospital,,,,,2,,
05/06/2025,St. John's Hospital Limerick,,,,,12,,
05/06/2025,UH Limerick,17,47,64,5,5,16,
05/06/2025,HSE Mid West Total,17,47,64,5,26,16,0
05/06/2025,Galway University Hospital,33,18,51,30,46,10,
05/06/2025,Letterkenny University Hospital,0,5,5,0,29,1,
05/06/2025,Mayo University Hospital,7,10,17,10,13,4,
05/06/2025,Portiuncula University Hospital,0,0,0,0,2,,
05/06/2025,Roscommon University Hospital,,,,,3,,
05/06/2025,Sligo University Hospital,0,2,2,9,25,1,
05/06/2025,HSE West and North West Total,40,35,75,49,118,16,0
05/06/2025,National Total,155,93,248,328,390,42,0
06/06/2025,Beaumont Hospital,3,0,3,5,15,,
